Source,Year,Island,Country,Habitat,Site Name,LIT Transect length_m,Site_No,Transect
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef,10,2,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef,10,2,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef Control,10,1,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef Control,10,1,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef Control,10,1,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef Control,10,2,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef Control,10,2,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef Control,10,2,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Saxon Reef,10,1,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Saxon Reef,10,1,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Saxon Reef,10,1,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Saxon Reef,15,2,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Saxon Reef,15,2,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Saxon Reef,15,2,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 1,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 1,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2a,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2a,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2d,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2d,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2d,10,1,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2d Control,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2d Control,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 2d Control,10,1,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3,10,1,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3,10,2,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3,10,2,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3 Control,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3 Control,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 3 Control,10,1,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 4,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 4,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Agincourt 4,10,1,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Light Reef,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Light Reef,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Moore Reef Sunlovers,10,1,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Moore Reef Sunlovers,10,1,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Moore Reef Sunlovers,10,1,3
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Moore Reef Sunlovers,10,2,1
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Moore Reef Sunlovers,10,2,2
Lamb,2012,"Great Barrier Reef, Port Douglas Outer Reefs",Australia,Crest,Moore Reef Sunlovers,10,2,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C1,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C1,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C1,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C2,10,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C2,10,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C2,10,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C3,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C3,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C3,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C4,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C4,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C6,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C6,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,C6,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE2,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE2,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE2,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE3,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE3,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE4,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE4,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE4,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE5,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE5,20,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE5,20,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE6,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE6,20,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OE6,20,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS1,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS1,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS1,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS2,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS2,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS2,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS3,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS3,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS3,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS4,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS4,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS4,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS5,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS5,10,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS5,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS6,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS6,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,OS6,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE1,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE1,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE1,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE2,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE2,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE3,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE3,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE3,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE4,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE4,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE4,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE5,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE5,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE5,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE6,20,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE6,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PE6,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS1,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS1,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS2,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS2,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS5,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS5,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS5,15,1,3
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS6,15,1,1
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS6,15,1,2
Lamb,2012,"Great Barrier Reef, Palm Islands",Australia,Crest,PS6,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B4,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B4,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B4,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B5,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B5,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B5,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B6,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B6,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,B6,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,BL1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,BL1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,BL1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,BL2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,BL2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,BL2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,D1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,D1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,D1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,DU1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,DU1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,DU1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,DU2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,DU2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,DU2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,E1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,E1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,E1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB4,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB4,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB4,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB5,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB5,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB5,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB7,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB7,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HB7,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HE3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG4,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG4,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG4,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG5,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG5,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG5,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG7,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG7,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HG7,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW1,10,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HW3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,HY3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,L1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,L1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,L1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W1,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W1,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W1,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W2,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W2,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W2,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W3,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W3,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W3,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W4,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W4,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W4,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W5,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W5,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W5,15,1,3
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W8,15,1,1
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W8,15,1,2
Lamb,2012,"Great Barrier Reef, Whitsunday Islands",Australia,Crest,W8,15,1,3
