Block	Treatment	Replicate	Plant	Gloss	BirdPredated	Time	Notes
8	Pur	104	YEW	1.68	0	2	LOST
8	Pur	80	IVY	9.3	1	2	
8	Blu	3	HOL	7.48	1	24	
8	Irid	2	BRA	1.2	1	24	
8	Pur	19	IVY	6.68	1	24	
8	Bla	8	HAZ	1.6	0	24	LOST
8	Pur	87	HOL	6.4	1	24	
8	Stat	17	BRA	1.56	1	24	
8	Gre	8	IVY	9.78	1	24	
8	Bla	32	HOL	8.72	0	24	LOST
8	Pur	12	OAK	1.9	1	24	
8	Stat	3	HAZ	0.94	1	24	
8	Pur	53	HOL	5.6	1	24	
8	Bla	103	IVY	4.94	1	24	
8	Stat	10	IVY	9.92	1	24	
8	Stat	37	IVY	4.18	1	24	
8	Pur	83	HOL	7.16	1	24	
8	Bla	35	BRA	1.66	1	24	
8	Bla	36	IVY	3.4	0	24	SPIDER
8	Blu	108	IVY	8.18	0	24	SPIDER
8	Gre	3	IVY	2.82	1	24	
8	Irid	54	HAZ	0.6	1	24	
8	Gre	6	YEW	2.78	1	24	
8	Blu	55	YEW	2.3	1	24	
8	Stat	50	YEW	2.2	1	24	
8	Gre	85	YEW	3.12	0	24	SPIDER
8	Blu	104	YEW	1.2	1	24	
8	Blu	107	YEW	2.88	1	24	
8	Stat	108	YEW	4.38	1	24	
8	Gre	41	IVY	7.2	1	24	
8	Blu	6	IVY	7.92	1	24	
8	Pur	3	IVY	6.28	1	24	
8	Irid	24	BRA	0.9	1	24	
8	Pur	14	HOL	4.3	1	24	
8	Gre	17	IVY	4.6	1	24	
8	Gre	31	IVY	3.3	1	24	
8	Pur	10	IVY	3.46	1	24	
8	Pur	34	HOL	4.1	1	24	
8	Bla	57	IVY	6.7	1	24	
8	Gre	50	IVY	7.98	1	24	
8	Pur	50	OAK	1.46	1	24	
8	Stat	40	IVY	6.36	1	24	
8	Blu	17	HOL	7.02	1	24	
8	Bla	71	BRA	0.9	1	24	
8	Blu	35	IVY	7.04	1	24	
8	Irid	67	IVY	6.04	0	24	SPIDER
8	Blu	34	PRI	2.48	1	24	
8	Blu	2	IVY	3.78	1	24	
8	Irid	69	IVY	5.1	0	24	WASP
8	Irid	114	IVY	3.88	1	48	
8	Irid	3	IVY	4.3	1	48	
8	Blu	53	HOL	12.08	1	48	
8	Gre	104	IVY	4.1	1	48	
8	Gre	43	HOL	8.2	1	48	
8	Irid	18	IVY	6.48	1	48	
8	Blu	30	OAK	1.82	1	48	
8	Stat	35	IVY	10.56	1	48	
8	Bla	8	HAZ	1.8	1	48	
8	Irid	15	YEW	2.2	1	48	
8	Irid	68	IVY	3.66	0	48	LOST
8	Stat	5	YEW	1.78	0	48	SLUG
8	Bla	55	IVY	4.62	0	48	SPIDER
8	Bla	2	HOL	8.4	0	48	ALIVE
8	Bla	14	OAK	1.84	0	48	SPIDER
8	Bla	106	HOL	10.32	0	48	ALIVE
8	Stat	39	BRA	1.8	0	48	ALIVE
8	Gre	38	HOL	9.58	0	48	ALIVE
8	Irid	8	YEW	1.54	1	48	
8	Irid	50	YEW	1.94	0	48	ALIVE
8	Blu	61	HOL	10.3	0	48	ALIVE
8	Irid	9	YEW	1.72	0	48	ALIVE
8	Pur	32	YEW	2.1	0	48	SPIDER
8	Gre	13	IVY	8.32	0	48	SLUG
8	Bla	81	BRA	0.94	0	48	SPIDER
8	Gre	21	HOL	9.54	0	48	ALIVE
8	Gre	32	HOL	3.96	0	48	ALIVE
8	Irid	60	HOL	4.74	0	48	ALIVE
8	Pur	84	IVY	3.6	1	48	
8	Irid	51	IVY	5.32	0	48	ALIVE
8	Stat	123	IVY	3.3	0	48	SPIDER
8	Stat	41	IVY	2.28	0	48	SPIDER
8	Stat	12	YEW	2.4	0	48	LOST
8	Bla	3	BRA	0.9	1	48	
8	Gre	45	HOL	9.02	0	48	ALIVE
9	Bla	56	IVY	5.52	0	2	LOST
9	Bla	4	IVY	9.44	1	2	
9	Stat	6	IVY	7.9	1	2	
9	Stat	101	IVY	6.56	1	2	
9	Blu	122	IVY	7.48	0	2	LOST
9	Blu	52	HAZ	1.8	1	2	
9	Pur	80	HAZ	1	1	24	
9	Pur	130	DOG	1.4	1	24	
9	Bla	100	SYC	1.48	1	24	
9	Blu	101	DOG	1.72	1	24	
9	Irid	59	HAZ	2.62	0	24	LOST
9	Bla	79	IVY	3.56	1	24	
9	Stat	166	HAZ	1.6	1	24	
9	Gre	35	IVY	8.88	1	24	
9	Bla	54	HAW	2.3	1	24	
9	Irid	70	HAZ	1.36	1	24	
9	Stat	14	HOL	6.2	1	24	
9	Irid	19	DOG	1.72	1	24	
9	Irid	103	WHI	2.7	1	24	
9	Pur	102	BRA	2.4	1	24	
9	Stat	52	HAZ	1.2	1	24	
9	Blu	66	BRA	0.9	1	24	
9	Pur	18	IVY	4.7	1	24	
9	Stat	100	IVY	5.26	1	24	
9	Blu	65	BEE	2.3	1	24	
9	Pur	15	BRA	3.68	1	24	
9	Gre	89	HAZ	0.64	1	24	
9	Blu	124	HOL	2.5	1	24	
9	Gre	120	DOG	2.18	1	24	
9	Stat	104	BRA	0.94	1	24	
9	Pur	88	BRA	1.5	1	24	
9	Bla	76	PRI	1.5	1	24	
9	Blu	123	BEE	0.72	1	24	
9	Stat	107	IVY	4.1	1	24	
9	Blu	102	IVY	6.06	1	24	
9	Stat	56	BRA	1.26	1	24	
9	Pur	126	HAZ	1.34	1	24	
9	Gre	90	BRA	1.5	1	24	
9	Pur	128	HOL	7.22	1	24	
9	Irid	136	FER	1.8	1	24	
9	Gre	123	HOL	6	1	24	
9	Blu	50	HAZ	1	1	24	
9	Gre	109	HAW	1.88	1	24	
9	Bla	50	IVY	7.4	1	24	
9	Irid	23	BRA	0.82	1	24	
9	Blu	33	IVY	4.38	1	24	
9	Stat	33	SYC	1.28	1	24	
9	Bla	52	PRI	1.9	1	24	
9	Blu	111	DOG	1.38	1	24	
9	Gre	39	DOG	2	1	24	
9	Pur	129	IVY	2.38	1	24	
9	Blu	10	BRA	0.88	1	24	
9	Bla	10	BRA	1.06	1	24	
9	Blu	60	HAZ	0.9	1	24	
9	Stat	112	IVY	9.12	1	24	
9	Gre	122	BRA	1.92	0	24	SLUG
9	Irid	104	IVY	3.42	1	24	
9	Irid	25	IVY	5.46	1	24	
9	Blu	57	IVY	8.58	1	24	
9	Stat	31	BRA	1.44	1	24	
9	Irid	112	BEE	2.92	1	24	
9	Pur	127	IVY	5.34	1	24	
9	Pur	5	BRA	1.2	1	24	
9	Gre	88	LIM	1.1	1	24	
9	Pur	100	PRI	1.7	1	24	
9	Pur	2	BRA	0.9	1	24	
9	Pur	58	BEE	3.38	1	24	
9	Pur	52	IVY	4.62	1	24	
9	Gre	18	YEW	3.58	1	24	
9	Irid	106	BRA	1	0	24	LOST
9	Stat	117	HAZ	2.1	1	48	
9	Irid	59	HAZ	2.84	1	48	
9	Gre	39	DOG	1.6	0	48	LOST
9	Irid	62	IVY	3.6	1	48	
9	Irid	107	IVY	1.64	1	48	
9	Irid	108	PRI	2.12	1	48	
9	Bla	7	IVY	9.48	1	48	
9	Bla	56	IVY	3.82	0	48	SLUG
9	Bla	83	HOL	8.16	1	48	
9	Irid	105	IVY	4.2	0	48	ALIVE
9	Bla	121	IVY	4.98	1	48	
9	Bla	78	IVY	5.44	1	48	
9	Bla	122	HOL	4.08	1	48	
9	Gre	44	IVY	6.68	1	48	
9	Gre	30	IVY	3.54	1	48	
9	Gre	112	HOL	4.96	1	48	
9	Stat	109	IVY	3.28	1	48	
9	Blu	5	IVY	5.2	1	48	
9	Bla	120	IVY	6.4	0	48	SPIDER
9	Irid	65	IVY	4.3	1	48	
9	Stat	30	IVY	4.9	1	48	
9	Gre	121	IVY	4.36	0	48	ALIVE
9	Gre	36	YEW	6.64	1	48	
10	Pur	139	IVY	10.76	1	2	
10	Stat	115	HAZ	1.38	1	2	
10	Irid	10	HAZ	1.04	1	2	
10	Pur	135	IVY	3.6	1	2	
10	Pur	83	HAZ	1.1	1	2	
10	Bla	8	BEE	3.16	0	24	SPIDER
10	Blu	6	BRA	1.3	1	24	
10	Irid	113	BEE	3.3	1	24	
10	Gre	105	HAZ	1.3	1	24	
10	Stat	16	IVY	7.22	1	24	
10	Pur	50	BRA	10.32	1	24	
10	Stat	37	BRA	1.8	1	24	
10	Stat	110	IVY	9.58	1	24	
10	Pur	134	BRA	1.54	1	24	
10	Bla	102	BRA	1.94	1	24	
10	Irid	53	BEE	10.3	1	24	
10	Stat	7	PRI	1.72	1	24	
10	Pur	107	IVY	2.1	1	24	
10	Gre	108	BRA	8.32	1	24	
10	Blu	32	IVY	0.94	1	24	
10	Stat	114	HAZ	9.54	1	24	
10	Pur	51	IVY	3.96	1	24	
10	Pur	136	IVY	4.74	1	24	
10	Bla	35	IVY	3.6	1	24	
10	Blu	51	IVY	5.32	1	24	
10	Stat	122	IVY	3.3	1	24	
10	Blu	30	IVY	2.28	1	24	
10	Gre	17	PRI	2.4	1	24	
10	Gre	3	PRI	0.9	1	24	
10	Bla	30	BEE	9.02	1	24	
10	Irid	69	BEE	3.66	1	24	
10	Pur	140	OAK	1.78	1	24	
10	Stat	9	IVY	4.62	1	24	
10	Blu	135	BRA	8.4	1	24	
10	Blu	16	BRA	1.84	1	24	
10	Blu	2	IVY	10.32	1	24	
10	Blu	17	IVY	1.8	1	24	
10	Irid	66	IVY	9.58	1	24	
10	Blu	130	IVY	1.54	1	24	
10	Stat	10	IVY	1.94	1	24	
10	Stat	40	IVY	10.3	1	24	
10	Stat	17	HOL	1.72	1	24	
10	Pur	53	IVY	2.1	1	24	
10	Irid	101	IVY	8.32	1	24	
10	Stat	19	IVY	0.94	1	24	
10	Gre	33	IVY	9.54	1	24	
10	Irid	100	BEE	3.96	1	24	
10	Blu	11	IVY	4.74	1	24	
10	Blu	131	IVY	3.6	1	24	
10	Gre	6	IVY	5.32	1	24	
10	Gre	8	BRA	3.3	1	24	
10	Blu	121	HOL	2.28	1	24	
10	Pur	82	IVY	2.4	1	24	
10	Stat	119	YEW	0.9	1	24	
10	Stat	54	HAZ	9.02	1	24	
10	Blu	136	PRI	3.66	1	24	
10	Blu	113	IVY	1.78	1	24	
10	Pur	133	HAZ	4.62	1	24	
10	Pur	137	IVY	8.4	1	24	
10	Bla	71	BEE	2.36	1	48	
10	Irid	11	IVY	7.74	0	48	ALIVE
10	Gre	107	BEE	1.94	0	48	LOST
10	Irid	16	IVY	6.28	1	48	
10	Pur	31	HOL	11.64	0	48	CHECK
10	Gre	41	HOL	9.1	1	48	
10	Pur	138	IVY	3.4	1	48	
10	Irid	61	IVY	5.04	1	48	
10	Irid	54	BEE	2.48	1	48	
10	Gre	104	IVY	5.4	1	48	
10	Bla	31	YEW	2.78	0	48	ALIVE
10	Bla	105	YEW	2.2	1	48	
10	Irid	64	IVY	8.58	1	48	
10	Bla	107	BRA	1.62	0	48	SPIDER
10	Bla	17	IVY	6.7	1	48	
10	Bla	37	IVY	1.6	1	48	
10	Bla	79	HOL	13.56	1	48	
10	Irid	67	HOL	10.9	1	48	
10	Stat	111	IVY	6.7	1	48	
10	Bla	77	IVY	3.42	0	48	ALIVE
10	Blu	18	HOL	10.6	0	48	WASP
10	Gre	31	BEE	4.8	1	48	
10	Bla	15	HOL	9.44	1	48	
10	Gre	101	PRI	2.2	1	48	
10	Gre	85	IVY	5.2	1	48	
10	Bla	101	PRI	1.6	1	48	
10	Gre	110	HOL	5.84	1	48	
10	Irid	2	IVY	7.26	0	48	ALIVE
